0.791 0.822 107797.967 643.608
0.822 0.852 161859.960 786.746
0.852 0.883 181542.958 831.465
0.883 0.914 138021.988 721.626
0.914 0.944 151725.310 750.398
0.944 0.975 144739.105 732.794
0.975 1.006 108816.688 637.309
1.006 1.036 101846.529 615.978
1.036 1.067 94913.909 593.977
1.067 1.098 98654.589 604.845
1.098 1.128 93096.087 586.806
1.128 1.159 81265.363 547.089
1.159 1.190 83680.250 554.505
1.190 1.221 76060.494 529.419
1.221 1.251 54429.653 450.366
1.251 1.282 46220.682 415.021
1.282 1.313 44954.311 408.332
1.313 1.343 38487.413 379.487
1.343 1.374 33163.099 354.988
1.374 1.405 30037.714 338.430
1.405 1.435 28494.530 331.301
1.435 1.466 27391.955 324.759
1.466 1.497 25456.101 312.301
1.497 1.528 24374.843 307.080
1.528 1.558 24245.337 304.779
1.558 1.589 24971.596 309.268
1.589 1.620 25866.888 315.326
1.620 1.650 23421.680 299.661
1.650 1.681 20462.598 282.374
1.681 1.712 20443.960 282.312
1.712 1.742 20745.892 285.984
1.742 1.773 20398.958 282.705
1.773 1.804 18744.906 271.115
1.804 1.835 16449.076 254.696
1.835 1.865 16003.634 250.611
1.865 1.896 14694.131 240.228
1.896 1.927 14415.729 237.647
1.927 1.957 14288.612 236.824
1.957 1.988 14937.731 242.858
1.988 2.019 14725.682 239.932
2.019 2.049 14195.499 234.976
2.049 2.080 14751.793 241.051
2.080 2.111 14075.810 234.025
2.111 2.141 13559.416 231.028
2.141 2.172 12899.645 225.977
2.172 2.203 12122.838 220.239
2.203 2.234 12122.356 218.349
2.234 2.264 12046.213 219.376
2.264 2.295 11313.343 210.960
2.295 2.326 11048.945 209.487
2.326 2.356 10735.402 205.259
2.356 2.387 10550.527 203.603
2.387 2.418 9385.207 191.718
2.418 2.448 9107.819 190.106
2.448 2.479 8807.468 186.480
2.479 2.510 8119.445 179.740
2.510 2.541 7796.077 176.717
2.541 2.571 7905.739 176.311
2.571 2.602 8027.376 178.526
2.602 2.633 7902.122 176.763
2.633 2.663 7884.745 177.808
2.663 2.694 7974.687 177.556
2.694 2.725 8116.920 178.429
2.725 2.755 8146.572 179.577
2.755 2.786 7964.464 177.771
2.786 2.817 7871.120 176.643
2.817 2.848 7831.266 175.806
2.848 2.878 7738.522 174.747
2.878 2.909 7534.020 172.501
2.909 2.940 7711.341 175.013
2.940 2.970 7343.323 171.452
2.970 3.001 7849.796 176.949
3.001 3.032 7485.297 172.170
3.032 3.062 7652.344 173.887
3.062 3.093 7357.541 170.857
3.093 3.124 7771.862 175.658
3.124 3.155 7727.549 174.935
3.155 3.185 7450.312 172.839
3.185 3.216 7406.625 171.215
3.216 3.247 7306.009 168.950
3.247 3.277 7497.674 172.193
3.277 3.308 7218.814 170.328
3.308 3.339 7210.375 169.295
3.339 3.369 7536.336 173.036
3.369 3.400 7187.522 169.575
3.400 3.431 7145.492 169.111
3.431 3.461 7159.680 168.089
3.461 3.492 7045.626 167.045
3.492 3.523 7025.483 166.464
3.523 3.554 7049.695 166.761
3.554 3.584 6758.120 163.882
3.584 3.615 6940.210 166.207
3.615 3.646 6874.328 163.822
3.646 3.676 7335.486 171.002
3.676 3.707 6852.439 165.157
3.707 3.738 6906.546 165.706
3.738 3.768 7129.697 168.179
3.768 3.799 6941.150 165.946
3.799 3.830 7016.780 166.621
3.830 3.861 7336.122 170.923
3.861 3.891 7293.974 170.138
3.891 3.922 7300.722 170.396
3.922 3.953 6841.381 165.273
3.953 3.983 7025.038 166.849
3.983 4.014 6936.097 166.053
4.014 4.045 7028.547 167.391
4.045 4.075 6795.158 164.650
4.075 4.106 6690.905 163.695
4.106 4.137 6825.455 164.047
4.137 4.168 7030.645 168.307
4.168 4.198 6545.491 161.270
4.198 4.229 6670.897 162.606
4.229 4.260 6823.302 165.338
4.260 4.290 6637.114 162.923
4.290 4.321 6814.335 163.221
4.321 4.352 6605.019 162.591
4.352 4.382 6702.369 163.175
4.382 4.413 6557.269 160.943
4.413 4.444 6378.936 157.900
4.444 4.474 6318.952 158.048
4.474 4.505 6695.199 163.086
4.505 4.536 6455.118 160.172
4.536 4.567 6350.638 158.574
4.567 4.597 6846.974 165.454
4.597 4.628 6684.228 162.784
4.628 4.659 6513.390 161.013
4.659 4.689 6704.108 164.459
4.689 4.720 6214.558 156.273
4.720 4.751 6763.534 164.291
4.751 4.781 6480.714 160.972
4.781 4.812 6443.460 160.316
4.812 4.843 6735.166 164.427
4.843 4.874 6381.924 159.170
4.874 4.904 6319.569 157.927
4.904 4.935 6288.555 158.175
4.935 4.966 6393.536 159.981
4.966 4.996 6048.627 154.767
4.996 5.027 6092.180 155.655
5.027 5.058 6294.049 157.537
5.058 5.088 6292.571 158.531
5.088 5.119 6464.015 160.436
5.119 5.150 6246.205 157.432
5.150 5.181 6354.405 158.086
5.181 5.211 6278.022 157.468
5.211 5.242 6359.552 160.089
5.242 5.273 6313.189 158.930
5.273 5.303 5920.387 153.836
5.303 5.334 6203.951 155.742
5.334 5.365 6311.572 158.551
5.365 5.395 6270.206 158.754
5.395 5.426 6092.865 155.038
5.426 5.457 6380.828 159.678
5.457 5.487 6230.622 157.483
5.487 5.518 6312.896 158.281
5.518 5.549 6388.740 159.528
5.549 5.580 6309.578 158.960
5.580 5.610 6148.526 156.208
5.610 5.641 6113.522 156.566
5.641 5.672 6396.808 159.569
5.672 5.702 6125.857 156.369
5.702 5.733 6152.310 156.628
5.733 5.764 6170.693 156.213
5.764 5.794 5823.068 151.641
5.794 5.825 6150.168 156.613
5.825 5.856 6031.519 155.290
5.856 5.887 6352.173 159.669
5.887 5.917 5935.859 153.259
5.917 5.948 6205.088 157.357
5.948 5.979 6277.095 157.213
5.979 6.009 6252.350 156.815
6.009 6.040 6369.112 159.900
6.040 6.071 6372.536 159.107
6.071 6.101 5883.790 152.263
6.101 6.132 5983.897 154.292
6.132 6.163 6145.462 156.474
6.163 6.194 6161.829 156.443
6.194 6.224 5986.779 154.909
6.224 6.255 6010.715 153.908
6.255 6.286 6306.566 158.111
6.286 6.316 6026.801 155.679
6.316 6.347 5826.642 152.050
