0.791 0.822 28.494 0.143
0.822 0.852 42.785 0.175
0.852 0.883 47.987 0.186
0.883 0.914 36.483 0.163
0.914 0.944 40.106 0.172
0.944 0.975 38.259 0.168
0.975 1.006 28.764 0.145
1.006 1.036 26.921 0.140
1.036 1.067 25.089 0.136
1.067 1.098 26.077 0.139
1.098 1.128 24.608 0.135
1.128 1.159 21.481 0.126
1.159 1.190 22.119 0.128
1.190 1.221 20.105 0.122
1.221 1.251 14.387 0.103
1.251 1.282 12.218 0.095
1.282 1.313 11.883 0.094
1.313 1.343 10.173 0.087
1.343 1.374 8.766 0.080
1.374 1.405 7.940 0.076
1.405 1.435 7.532 0.073
1.435 1.466 7.241 0.072
1.466 1.497 6.729 0.070
1.497 1.528 6.443 0.068
1.528 1.558 6.409 0.068
1.558 1.589 6.601 0.069
1.589 1.620 6.837 0.070
1.620 1.650 6.191 0.067
1.650 1.681 5.409 0.062
1.681 1.712 5.404 0.062
1.712 1.742 5.484 0.062
1.742 1.773 5.392 0.062
1.773 1.804 4.955 0.059
1.804 1.835 4.348 0.055
1.835 1.865 4.230 0.055
1.865 1.896 3.884 0.052
1.896 1.927 3.811 0.052
1.927 1.957 3.777 0.052
1.957 1.988 3.949 0.053
1.988 2.019 3.892 0.053
2.019 2.049 3.752 0.052
2.049 2.080 3.899 0.052
2.080 2.111 3.721 0.052
2.111 2.141 3.584 0.050
2.141 2.172 3.410 0.049
2.172 2.203 3.204 0.047
2.203 2.234 3.204 0.048
2.234 2.264 3.184 0.047
2.264 2.295 2.990 0.046
2.295 2.326 2.921 0.045
2.326 2.356 2.838 0.045
2.356 2.387 2.789 0.044
2.387 2.418 2.481 0.042
2.418 2.448 2.407 0.041
2.448 2.479 2.328 0.040
2.479 2.510 2.146 0.039
2.510 2.541 2.061 0.038
2.541 2.571 2.090 0.038
2.571 2.602 2.122 0.039
2.602 2.633 2.089 0.038
2.633 2.663 2.084 0.038
2.663 2.694 2.108 0.039
2.694 2.725 2.146 0.039
2.725 2.755 2.153 0.039
2.755 2.786 2.105 0.038
2.786 2.817 2.081 0.038
2.817 2.848 2.070 0.038
2.848 2.878 2.046 0.038
2.878 2.909 1.991 0.037
2.909 2.940 2.038 0.038
2.940 2.970 1.941 0.037
2.970 3.001 2.075 0.038
3.001 3.032 1.979 0.037
3.032 3.062 2.023 0.038
3.062 3.093 1.945 0.037
3.093 3.124 2.054 0.038
3.124 3.155 2.043 0.038
3.155 3.185 1.969 0.037
3.185 3.216 1.958 0.037
3.216 3.247 1.931 0.037
3.247 3.277 1.982 0.037
3.277 3.308 1.908 0.036
3.308 3.339 1.906 0.037
3.339 3.369 1.992 0.037
3.369 3.400 1.900 0.036
3.400 3.431 1.889 0.036
3.431 3.461 1.893 0.037
3.461 3.492 1.862 0.036
3.492 3.523 1.857 0.036
3.523 3.554 1.863 0.036
3.554 3.584 1.786 0.035
3.584 3.615 1.835 0.036
3.615 3.646 1.817 0.036
3.646 3.676 1.939 0.037
3.676 3.707 1.811 0.036
3.707 3.738 1.826 0.036
3.738 3.768 1.885 0.036
3.768 3.799 1.835 0.036
3.799 3.830 1.855 0.036
3.830 3.861 1.939 0.037
3.861 3.891 1.928 0.037
3.891 3.922 1.930 0.037
3.922 3.953 1.808 0.036
3.953 3.983 1.857 0.036
3.983 4.014 1.833 0.036
4.014 4.045 1.858 0.036
4.045 4.075 1.796 0.035
4.075 4.106 1.769 0.035
4.106 4.137 1.804 0.036
4.137 4.168 1.858 0.036
4.168 4.198 1.730 0.035
4.198 4.229 1.763 0.035
4.229 4.260 1.804 0.035
4.260 4.290 1.754 0.035
4.290 4.321 1.801 0.036
4.321 4.352 1.746 0.035
4.352 4.382 1.772 0.035
4.382 4.413 1.733 0.035
4.413 4.444 1.686 0.035
4.444 4.474 1.670 0.034
4.474 4.505 1.770 0.035
4.505 4.536 1.706 0.035
4.536 4.567 1.679 0.034
4.567 4.597 1.810 0.035
4.597 4.628 1.767 0.035
4.628 4.659 1.722 0.035
4.659 4.689 1.772 0.035
4.689 4.720 1.643 0.034
4.720 4.751 1.788 0.035
4.751 4.781 1.713 0.035
4.781 4.812 1.703 0.034
4.812 4.843 1.780 0.035
4.843 4.874 1.687 0.034
4.874 4.904 1.670 0.034
4.904 4.935 1.662 0.034
4.935 4.966 1.690 0.034
4.966 4.996 1.599 0.034
4.996 5.027 1.610 0.034
5.027 5.058 1.664 0.034
5.058 5.088 1.663 0.034
5.088 5.119 1.709 0.035
5.119 5.150 1.651 0.034
5.150 5.181 1.680 0.034
5.181 5.211 1.659 0.034
5.211 5.242 1.681 0.034
5.242 5.273 1.669 0.034
5.273 5.303 1.565 0.033
5.303 5.334 1.640 0.034
5.334 5.365 1.668 0.034
5.365 5.395 1.657 0.034
5.395 5.426 1.611 0.034
5.426 5.457 1.687 0.034
5.457 5.487 1.647 0.034
5.487 5.518 1.669 0.034
5.518 5.549 1.689 0.034
5.549 5.580 1.668 0.034
5.580 5.610 1.625 0.034
5.610 5.641 1.616 0.034
5.641 5.672 1.691 0.034
5.672 5.702 1.619 0.034
5.702 5.733 1.626 0.034
5.733 5.764 1.631 0.034
5.764 5.794 1.539 0.033
5.794 5.825 1.626 0.034
5.825 5.856 1.594 0.033
5.856 5.887 1.679 0.034
5.887 5.917 1.569 0.033
5.917 5.948 1.640 0.034
5.948 5.979 1.659 0.034
5.979 6.009 1.653 0.034
6.009 6.040 1.684 0.034
6.040 6.071 1.684 0.034
6.071 6.101 1.555 0.033
6.101 6.132 1.582 0.033
6.132 6.163 1.624 0.034
6.163 6.194 1.629 0.034
6.194 6.224 1.582 0.033
6.224 6.255 1.589 0.034
6.255 6.286 1.667 0.034
6.286 6.316 1.593 0.033
6.316 6.347 1.540 0.033
6.347 6.378 1.649 0.034
6.378 6.408 1.667 0.034
6.408 6.439 1.802 0.036
6.439 6.470 2.041 0.038
6.470 6.501 2.229 0.040
6.501 6.531 2.202 0.040
6.531 6.562 2.103 0.038
6.562 6.593 2.042 0.038
6.593 6.623 1.953 0.037
6.623 6.654 1.700 0.035
6.654 6.685 1.662 0.034
6.685 6.715 1.568 0.033
6.715 6.746 1.587 0.033
6.746 6.777 1.599 0.033
6.777 6.807 1.594 0.033
6.807 6.838 1.478 0.032
6.838 6.869 1.542 0.033
6.869 6.900 1.518 0.033
6.900 6.930 1.536 0.032
6.930 6.961 1.507 0.032
6.961 6.992 1.620 0.033
6.992 7.022 1.617 0.034
7.022 7.053 1.681 0.034
7.053 7.084 1.619 0.034
7.084 7.114 1.627 0.034
7.114 7.145 1.609 0.034
7.145 7.176 1.651 0.034
7.176 7.207 1.548 0.033
7.207 7.237 1.517 0.033
7.237 7.268 1.510 0.032
7.268 7.299 1.510 0.033
7.299 7.329 1.518 0.033
7.329 7.360 1.380 0.031
7.360 7.391 1.469 0.032
7.391 7.421 1.510 0.033
7.421 7.452 1.547 0.033
7.452 7.483 1.623 0.034
7.483 7.514 1.623 0.034
7.514 7.544 1.652 0.034
7.544 7.575 1.751 0.035
7.575 7.606 1.719 0.035
7.606 7.636 1.609 0.034
7.636 7.667 1.543 0.033
7.667 7.698 1.539 0.033
7.698 7.728 1.499 0.032
7.728 7.759 1.540 0.033
7.759 7.790 1.465 0.032
7.790 7.820 1.450 0.032
7.820 7.851 1.458 0.032
7.851 7.882 1.393 0.031
7.882 7.913 1.457 0.032
7.913 7.943 1.500 0.032
7.943 7.974 1.388 0.031
7.974 8.005 1.481 0.032
8.005 8.035 1.463 0.032
8.035 8.066 1.541 0.033
8.066 8.097 1.577 0.033
8.097 8.127 1.569 0.033
8.127 8.158 1.601 0.034
8.158 8.189 1.583 0.033
8.189 8.220 1.548 0.033
8.220 8.250 1.506 0.032
8.250 8.281 1.430 0.032
8.281 8.312 1.473 0.032
8.312 8.342 1.495 0.033
8.342 8.373 1.395 0.031
8.373 8.404 1.412 0.032
8.404 8.434 1.436 0.032
8.434 8.465 1.501 0.032
8.465 8.496 1.418 0.032
8.496 8.527 1.487 0.032
8.527 8.557 1.519 0.033
8.557 8.588 1.522 0.033
8.588 8.619 1.564 0.033
8.619 8.649 1.693 0.034
8.649 8.680 1.583 0.033
8.680 8.711 1.631 0.034
8.711 8.741 1.540 0.033
8.741 8.772 1.566 0.033
8.772 8.803 1.538 0.033
8.803 8.833 1.402 0.031
8.833 8.864 1.373 0.031
8.864 8.895 1.360 0.031
8.895 8.926 1.314 0.031
8.926 8.956 1.345 0.031
8.956 8.987 1.305 0.030
8.987 9.018 1.329 0.030
9.018 9.048 1.367 0.031
9.048 9.079 1.389 0.031
9.079 9.110 1.257 0.030
9.110 9.140 1.329 0.030
9.140 9.171 1.354 0.031
9.171 9.202 1.306 0.030
9.202 9.233 1.294 0.030
9.233 9.263 1.321 0.030
9.263 9.294 1.310 0.030
9.294 9.325 1.327 0.031
9.325 9.355 1.304 0.030
9.355 9.386 1.267 0.030
9.386 9.417 1.279 0.030
9.417 9.447 1.283 0.030
9.447 9.478 1.218 0.029
9.478 9.509 1.198 0.029
9.509 9.540 1.263 0.030
9.540 9.570 1.132 0.028
9.570 9.601 1.144 0.028
9.601 9.632 1.174 0.029
9.632 9.662 1.129 0.028
9.662 9.693 1.140 0.028
9.693 9.724 1.067 0.028
9.724 9.754 1.090 0.028
9.754 9.785 0.959 0.026
9.785 9.816 0.938 0.026
9.816 9.847 0.883 0.025
9.847 9.877 0.837 0.024
9.877 9.908 0.809 0.024
9.908 9.939 0.807 0.024
9.939 9.969 0.770 0.023
9.969 10.000 0.703 0.022
