# Mass_keV   gagg_GeV-1
7.508165e+00 1.530551e-18
7.581351e+00 1.438737e-18
7.655251e+00 1.164924e-18
7.729872e+00 1.034851e-18
7.805219e+00 1.155631e-18
7.881302e+00 1.297052e-18
7.958125e+00 1.508673e-18
8.035698e+00 1.809426e-18
8.114027e+00 1.986762e-18
8.193119e+00 1.964094e-18
8.272983e+00 1.716344e-18
8.353625e+00 1.289921e-18
8.435052e+00 1.092727e-18
8.517274e+00 1.116817e-18
8.600297e+00 1.230666e-18
8.684129e+00 1.414078e-18
8.768779e+00 1.479388e-18
8.854254e+00 1.471224e-18
8.940561e+00 1.519671e-18
9.027710e+00 1.502393e-18
9.115709e+00 1.370862e-18
9.204565e+00 1.082162e-18
9.294288e+00 1.042837e-18
9.384885e+00 1.252598e-18
9.476365e+00 1.377187e-18
9.568737e+00 1.336303e-18
9.662009e+00 1.245018e-18
9.756191e+00 1.178679e-18
9.851291e+00 1.122215e-18
9.947317e+00 1.022106e-18
1.004428e+01 9.451140e-19
1.014219e+01 9.898083e-19
1.024105e+01 1.175459e-18
1.034088e+01 1.321479e-18
1.044167e+01 1.366633e-18
1.054346e+01 1.379091e-18
1.064623e+01 1.324223e-18
1.075000e+01 1.236064e-18
1.085479e+01 1.150909e-18
1.096060e+01 8.227451e-19
1.106744e+01 7.460206e-19
1.117532e+01 7.166275e-19
1.128425e+01 7.126251e-19
1.139425e+01 8.803588e-19
1.150531e+01 1.131034e-18
1.161746e+01 1.213705e-18
1.173071e+01 1.283512e-18
1.184505e+01 1.303834e-18
1.196051e+01 1.324478e-18
1.207710e+01 1.345449e-18
1.219482e+01 1.363492e-18
1.231369e+01 1.236633e-18
1.243372e+01 1.183789e-18
1.255492e+01 1.340610e-18
1.267730e+01 1.132676e-18
1.280087e+01 1.048702e-18
1.292565e+01 9.853928e-19
1.305165e+01 8.059691e-19
1.317887e+01 7.573305e-19
1.330733e+01 7.235235e-19
1.343705e+01 6.912256e-19
1.356803e+01 6.954561e-19
1.370028e+01 7.211180e-19
1.383383e+01 7.471924e-19
1.396867e+01 7.741918e-19
1.410483e+01 8.021669e-19
1.424232e+01 8.218037e-19
1.438115e+01 8.416832e-19
1.452133e+01 8.541386e-19
1.466288e+01 8.624400e-19
1.480581e+01 8.708222e-19
1.495013e+01 8.792858e-19
1.509586e+01 7.452272e-19
1.524301e+01 6.957458e-19
1.539159e+01 6.501363e-19
1.554162e+01 6.538117e-19
1.569311e+01 6.577352e-19
1.584609e+01 6.616316e-19
1.600055e+01 6.391313e-19
1.615651e+01 6.173363e-19
1.631400e+01 5.871733e-19
1.647302e+01 5.662993e-19
1.663360e+01 5.608848e-19
1.679573e+01 5.555221e-19
1.695945e+01 5.502106e-19
1.712477e+01 5.449499e-19
1.729169e+01 5.534634e-19
1.746024e+01 6.265540e-19
1.763044e+01 6.350311e-19
1.780229e+01 6.080186e-19
1.797582e+01 5.741362e-19
1.815105e+01 5.317695e-19
1.832798e+01 4.981675e-19
1.850663e+01 4.759294e-19
1.868702e+01 4.629889e-19
1.886918e+01 4.643945e-19
1.905311e+01 4.778933e-19
1.923883e+01 4.969919e-19
1.942636e+01 5.168538e-19
1.961572e+01 6.110729e-19
1.980693e+01 6.522380e-19
2.000000e+01 6.218970e-19
