F_2_value	chi_squared
0.0	150.51840522696529
0.00010204081632653062	150.49880480406262
0.00020408163265306123	150.49630431509405
0.0003061224489795918	150.45521834568376
0.00040816326530612246	150.44974381795527
0.0005102040816326531	150.46127784572064
0.0006122448979591836	150.43449511602716
0.0007142857142857143	150.44311686626372
0.0008163265306122449	150.46865619116193
0.0009183673469387756	150.45615757953425
0.0010204081632653062	150.47884957889983
0.0011224489795918367	150.51836857772003
0.0012244897959183673	150.52012644320843
0.001326530612244898	150.55686224348108
0.0014285714285714286	150.6103348743526
0.0015306122448979593	150.62632110458736
0.0016326530612244899	150.67707381465806
0.0017346938775510204	150.7444735936324
0.0018367346938775511	150.77465966803032
0.0019387755102040817	150.83940198353997
0.0020408163265306124	150.92070201410428
0.002142857142857143	150.96505896167412
0.0022448979591836735	151.0437631417413
0.002346938775510204	151.13893609186857
0.0024489795918367346	151.1974345541954
0.0025510204081632655	151.29007243427293
0.002653061224489796	151.3990905489493
0.0027551020408163266	151.47170077187866
0.002857142857142857	151.57824380166267
0.0029591836734693877	151.7010789406554
0.0030612244897959186	151.7877707160846
0.003163265306122449	151.90818992097923
0.0032653061224489797	152.04481352047617
0.0033673469387755102	152.14555628059713
0.0034693877551020408	152.27982228716786
0.0035714285714285718	152.4302053851328
0.0036734693877551023	152.54496816943248
0.003775510204081633	152.69305122319247
0.0038775510204081634	152.8571644771818
0.003979591836734694	152.9859159145846
0.004081632653061225	153.14778586082542
0.004183673469387755	153.32559952878836
0.004285714285714286	153.46830789405067
0.004387755102040817	153.64393421781716
0.004489795918367347	153.8354181980336
0.004591836734693878	153.99205135425882
0.004693877551020408	154.18140299313205
0.004795918367346939	154.38652664130166
0.004897959183673469	154.5570524193077
0.005	154.76009808148075
