DM_Line	DM_Sigma	F_2_at_2.71
0.5029585798816574	0.025526065035978734	0.00020780094785838923
0.7683880578981284	0.027636683329124466	0.0005949707640368574
1.1344978312744778	0.030461596684868638	0.0002734183572862787
1.3134083740948732	0.03168714127620537	0.001953310550849116
1.5195021460867708	0.03325209569871914	0.00044201230215239065
1.6712294597356627	0.03413823045887887	0.0007228818931823109
1.8501022169718508	0.035286914421849565	0.0029321140816943557
2.028937188623832	0.036358737756454255	0.0015727799447128924
2.2077889538687945	0.03746472137033272	0.001123349067922485
2.3866071319277946	0.03850238442566361	0.0024004747699955947
2.565416913190305	0.0395229673413576	0.00274784080799671
